front;front_delta;front_right;front_right_delta;rear_right;rear_right_delta;mode1;mode2;mode3;mode4;mode5;prev_mode1;prev_mode2;prev_mode3;prev_mode4;prev_mode5
123;-277;57;0;211;-189;0;0;0;1;0;0;0;0;1;0
123;0;56;-1;400;189;0;0;0;1;0;0;0;0;1;0
123;0;56;0;400;0;0;0;0;1;0;0;0;0;1;0
75;-48;53;-3;141;-259;0;0;0;1;0;0;0;0;1;0
53;-22;51;-2;141;0;0;1;0;0;0;0;0;0;1;0
50;-3;50;-1;86;-55;0;0;1;0;0;0;1;0;0;0
47;-3;81;31;74;-12;0;0;1;0;0;0;0;1;0;0
46;-1;210;129;82;8;0;1;0;0;0;0;0;1;0;0
43;-3;208;-2;78;-4;0;1;0;0;0;0;1;0;0;0
41;-2;229;21;97;19;0;1;0;0;0;0;1;0;0;0
38;-3;400;171;96;-1;0;1;0;0;0;0;1;0;0;0
36;-2;201;-199;146;50;0;1;0;0;0;0;1;0;0;0
35;-1;191;-10;162;16;0;1;0;0;0;0;1;0;0;0
34;-1;32;-159;150;-12;0;1;0;0;0;0;1;0;0;0
55;21;30;-2;155;5;0;1;0;0;0;0;1;0;0;0
50;-5;29;-1;400;245;0;0;1;0;0;0;1;0;0;0
48;-2;27;-2;400;0;0;1;0;0;0;0;0;1;0;0
46;-2;25;-2;77;-323;0;1;0;0;0;0;1;0;0;0
43;-3;25;0;78;1;0;1;0;0;0;0;1;0;0;0
41;-2;24;-1;78;0;0;1;0;0;0;0;1;0;0;0
43;2;24;0;80;2;0;1;0;0;0;0;1;0;0;0
88;45;24;0;141;61;0;0;1;0;0;0;1;0;0;0
86;-2;26;2;164;23;0;1;0;0;0;0;0;1;0;0
85;-1;26;0;36;-128;0;1;0;0;0;0;1;0;0;0
84;-1;27;1;38;2;0;0;1;0;0;0;1;0;0;0
364;280;28;1;30;-8;0;0;1;0;0;0;0;1;0;0
362;-2;30;2;26;-4;0;0;1;0;0;0;0;1;0;0
359;-3;400;370;28;2;0;0;0;1;0;0;0;1;0;0
356;-3;400;0;30;2;0;0;1;0;0;0;0;0;1;0
352;-4;30;-370;29;-1;0;0;1;0;0;0;0;1;0;0
349;-3;29;-1;59;30;0;0;1;0;0;0;0;1;0;0
57;-292;29;0;142;83;0;0;1;0;0;0;0;1;0;0
56;-1;29;0;139;-3;0;1;0;0;0;0;0;1;0;0
60;4;28;-1;143;4;0;0;1;0;0;0;1;0;0;0
59;-1;27;-1;58;-85;0;0;1;0;0;0;0;1;0;0
112;53;29;2;30;-28;0;0;1;0;0;0;0;1;0;0
110;-2;29;0;29;-1;0;0;1;0;0;0;0;1;0;0
107;-3;29;0;29;0;0;0;1;0;0;0;0;1;0;0
105;-2;29;0;107;78;0;0;1;0;0;0;0;1;0;0
327;222;30;1;71;-36;0;0;1;0;0;0;0;1;0;0
324;-3;29;-1;110;39;0;0;1;0;0;0;0;1;0;0
